taxon.scientificNameWithoutAuthorship
"Dasyphyllum leptacanthum"
"Anthurium lucidum"
"Anthurium binotii"
"Senecio arctiifolius"
"Austrocritonia rosea"
"Lepidaploa persicifolia"
"Begonia aconitifolia"
"Neomarica northiana"
"Barbacenia seubertiana"
"Leandra laxa"
"Leandra multisetosa"
"Miconia eichleri"
"Tibouchina maximiliana"
"Miconia penduliflora"
"Conchocarpus sordidus"
"Clusia studartiana"
"Terminalia acuminata"
"Psychotria tenuinervis"
"Anthurium augustinum"
"Prepusa connata"
"Erythroxylum lancifolium"
"Abutilon anodoides"
"Rhipsalis mesembryanthemoides"
"Griffinia rochae"
"Cinnamodendron sampaioanum"
"Fuchsia glazioviana"
"Fuchsia alpestris"
"Heliconia pseudoaemygdiana"
"Canistropsis pulcherrima"
"Billbergia amandae"
"Billbergia macracantha"
"Aechmea prava"
"Pitcairnia beycalema"
"Sphagnum subhomophyllum"
"Schlumbergera russelliana"
"Rhipsalis ormindoi"
"Calyptranthes martiusiana"
"Calyptranthes ursina"
"Ouratea stipulata"
"Anemone assisbrasiliana"
"Gurania cogniauxiana"
"Begonia fagifolia"
"Begonia acida"
"Allophylus membranifolius"
"Begonia pseudolubbersii"
"Begonia velloziana"
"Begonia lunaris"
"Begonia valida"
"Coussarea friburgensis"
"Cupania schizoneura"
"Serjania itatiaiensis"
"Faramea campanularis"
"Faramea australis"
"Nematanthus serpens"
"Psychotria lindleyana"
"Psychotria lucidifolia"
"Rudgea discolor"
"Faramea aristata"
"Sinningia cochlearis"
"Sinningia lindleyi"
"Sinningia hirsuta"
"Faramea heteromera"
"Vanhouttea bradeana"
"Palicourea brasiliensis"
"Faramea intercedens"
"Faramea porophylla"
"Begonia arborescens"
"Manettia fimbriata"
"Begonia tomentosa"
"Barbacenia squamata"
"Alcantarea glaziouana"
"Alcantarea geniculata"
"Malanea spicata"
"Piper niteroiense"
"Marlierea langsdorffii"
"Kielmeyera gracilis"
"Pabstiella gracilicaulis"
"Lankesterella spannageliana"
"Eurystyles lobata"
"Neoregelia roethii"
"Couratari pyramidata"
"Glaziophyton mirabile"
"Nidularium utriculosum"
"Tillandsia neglecta"
"Doryopteris subsimplex"
"Mollinedia acutissima"
"Mollinedia corcovadensis"
"Abatia microphylla"
"Ficus nevesiae"
"Stigmaphyllon carautae"
"Psychotria wilkesiana"
"Mollinedia stenophylla"
"Luetzelburgia trialata"
"Dalbergia glaziovii"
"Swartzia glazioviana"
"Bauhinia albicans"
"Myrcia innovans"
"Myrciaria pumila"
"Neomitranthes riedeliana"
"Matelea fournieri"
"Anthurium harrisii"
"Anthurium laucheanum"
"Ditassa guilleminiana"
"Baccharis bifrons"
"Maytenus samydaeformis"
"Salvia rivularis"
"Barbacenia brevifolia"
"Bisglaziovia behurioides"
"Leandra dentata"
"Leandra mouraei"
"Leandra sessiliflora"
"Aristolochia raja"
"Conchocarpus grandiflorus"
"Clusia immersa"
"Erythroxylum ovalifolium"
"Thismia glaziovii"
"Manihot corymbiflora"
